task_id,project_id,name_x,name_y,project_manager_id,budget,status,is_active,is_successful,start_date,end_date,id,person_id,date,hours,id_log,date_log,hours_log,allocated_task_id,name,rate,start_date_person,end_date_person,working_hours_sunday,working_hours_monday,working_hours_tuesday,working_hours_wedday,working_hours_thursday,working_hours_friday,working_hours_saturday,tag_id,name_tag
1,1,Plan,Alpha,5,5000,Completed,0,1,01-01-2024,14-01-2024,1,5,01-01-2024,3,1,01-01-2024,2.5,1,Ed Flink,80,01-01-2023,,0,8,8,8,8,8,0,1,Integrations
1,1,Plan,Alpha,5,5000,Completed,0,1,01-01-2024,14-01-2024,1,5,01-01-2024,3,2,02-01-2024,2.6,1,Ed Flink,80,01-01-2023,,0,8,8,8,8,8,0,1,Integrations
1,1,Plan,Alpha,5,5000,Completed,0,1,01-01-2024,14-01-2024,1,5,01-01-2024,3,3,03-01-2024,2.533333333,1,Ed Flink,80,01-01-2023,,0,8,8,8,8,8,0,1,Integrations
1,1,Plan,Alpha,5,5000,Completed,0,1,01-01-2024,14-01-2024,2,5,02-01-2024,3,1,01-01-2024,2.5,1,Ed Flink,80,01-01-2023,,0,8,8,8,8,8,0,1,Integrations
1,1,Plan,Alpha,5,5000,Completed,0,1,01-01-2024,14-01-2024,2,5,02-01-2024,3,2,02-01-2024,2.6,1,Ed Flink,80,01-01-2023,,0,8,8,8,8,8,0,1,Integrations
1,1,Plan,Alpha,5,5000,Completed,0,1,01-01-2024,14-01-2024,2,5,02-01-2024,3,3,03-01-2024,2.533333333,1,Ed Flink,80,01-01-2023,,0,8,8,8,8,8,0,1,Integrations
1,1,Plan,Alpha,5,5000,Completed,0,1,01-01-2024,14-01-2024,3,5,03-01-2024,3,1,01-01-2024,2.5,1,Ed Flink,80,01-01-2023,,0,8,8,8,8,8,0,1,Integrations
1,1,Plan,Alpha,5,5000,Completed,0,1,01-01-2024,14-01-2024,3,5,03-01-2024,3,2,02-01-2024,2.6,1,Ed Flink,80,01-01-2023,,0,8,8,8,8,8,0,1,Integrations
1,1,Plan,Alpha,5,5000,Completed,0,1,01-01-2024,14-01-2024,3,5,03-01-2024,3,3,03-01-2024,2.533333333,1,Ed Flink,80,01-01-2023,,0,8,8,8,8,8,0,1,Integrations
2,1,Design,Alpha,5,5000,Completed,0,1,01-01-2024,14-01-2024,4,5,04-01-2024,3,4,04-01-2024,2.633333333,2,Ed Flink,80,01-01-2023,,0,8,8,8,8,8,0,1,Integrations
2,1,Design,Alpha,5,5000,Completed,0,1,01-01-2024,14-01-2024,4,5,04-01-2024,3,6,05-01-2024,2.666666667,2,Ed Flink,80,01-01-2023,,0,8,8,8,8,8,0,1,Integrations
2,1,Design,Alpha,5,5000,Completed,0,1,01-01-2024,14-01-2024,4,5,04-01-2024,3,8,06-01-2024,0.533333333,2,Ed Flink,80,01-01-2023,,0,8,8,8,8,8,0,1,Integrations
2,1,Design,Alpha,5,5000,Completed,0,1,01-01-2024,14-01-2024,4,5,04-01-2024,3,10,07-01-2024,0.566666667,2,Ed Flink,80,01-01-2023,,0,8,8,8,8,8,0,1,Integrations
2,1,Design,Alpha,5,5000,Completed,0,1,01-01-2024,14-01-2024,5,6,04-01-2024,4,5,04-01-2024,3.566666667,2,Frank Graham,120,01-01-2023,,0,8,8,8,8,8,0,1,Integrations
2,1,Design,Alpha,5,5000,Completed,0,1,01-01-2024,14-01-2024,5,6,04-01-2024,4,7,05-01-2024,3.6,2,Frank Graham,120,01-01-2023,,0,8,8,8,8,8,0,1,Integrations
2,1,Design,Alpha,5,5000,Completed,0,1,01-01-2024,14-01-2024,5,6,04-01-2024,4,9,06-01-2024,1.633333333,2,Frank Graham,120,01-01-2023,,0,8,8,8,8,8,0,1,Integrations
2,1,Design,Alpha,5,5000,Completed,0,1,01-01-2024,14-01-2024,5,6,04-01-2024,4,11,07-01-2024,1.666666667,2,Frank Graham,120,01-01-2023,,0,8,8,8,8,8,0,1,Integrations
2,1,Design,Alpha,5,5000,Completed,0,1,01-01-2024,14-01-2024,6,5,05-01-2024,3,4,04-01-2024,2.633333333,2,Ed Flink,80,01-01-2023,,0,8,8,8,8,8,0,1,Integrations
2,1,Design,Alpha,5,5000,Completed,0,1,01-01-2024,14-01-2024,6,5,05-01-2024,3,6,05-01-2024,2.666666667,2,Ed Flink,80,01-01-2023,,0,8,8,8,8,8,0,1,Integrations
2,1,Design,Alpha,5,5000,Completed,0,1,01-01-2024,14-01-2024,6,5,05-01-2024,3,8,06-01-2024,0.533333333,2,Ed Flink,80,01-01-2023,,0,8,8,8,8,8,0,1,Integrations
2,1,Design,Alpha,5,5000,Completed,0,1,01-01-2024,14-01-2024,6,5,05-01-2024,3,10,07-01-2024,0.566666667,2,Ed Flink,80,01-01-2023,,0,8,8,8,8,8,0,1,Integrations
