id,name,rate,start_date,end_date,working_hours_sunday,working_hours_monday,working_hours_tuesday,working_hours_wedday,working_hours_thursday,working_hours_friday,working_hours_saturday
1,Alan Brown,100.0,2023-01-01,,0.0,8.0,8.0,8.0,8.0,8.0,0.0
2,Bob Clark,90.0,2023-01-01,,0.0,8.0,8.0,8.0,8.0,8.0,0.0
3,Cathy Dylan,110.0,2023-01-01,,0.0,8.0,8.0,8.0,8.0,8.0,0.0
4,David Edwards,130.0,2023-01-01,,0.0,8.0,8.0,8.0,8.0,8.0,0.0
5,Ed Flink,80.0,2023-01-01,,0.0,8.0,8.0,8.0,8.0,8.0,0.0
6,Frank Graham,120.0,2023-01-01,,0.0,8.0,8.0,8.0,8.0,8.0,0.0
7,Grace Harris,120.0,2023-02-01,,0.0,8.0,8.0,8.0,8.0,8.0,0.0
8,Henry Jackson,130.0,2023-02-01,,0.0,8.0,8.0,8.0,8.0,8.0,0.0
9,Isabelle Johnson,160.0,2023-02-01,,0.0,8.0,8.0,8.0,8.0,8.0,0.0
10,Jake King,90.0,2023-02-01,,0.0,8.0,8.0,8.0,8.0,8.0,0.0
11,Karen Lee,90.0,2023-02-01,,0.0,8.0,8.0,8.0,8.0,8.0,0.0
12,Lucas Martin,120.0,2023-02-01,,0.0,8.0,8.0,8.0,8.0,8.0,0.0
13,Megan Nelson,120.0,2023-03-01,,0.0,8.0,8.0,8.0,8.0,8.0,0.0
14,Nicholas Odin,130.0,2023-03-01,,0.0,8.0,8.0,8.0,8.0,8.0,0.0
15,Olivia Parker,130.0,2023-03-01,,0.0,8.0,8.0,8.0,8.0,8.0,0.0
16,Peter Quinn,110.0,2023-03-01,,0.0,8.0,8.0,8.0,8.0,8.0,0.0
17,Quentin Robinson,160.0,2023-03-01,,0.0,8.0,8.0,8.0,8.0,8.0,0.0
18,Rachel Smish,120.0,2023-03-01,,0.0,8.0,8.0,8.0,8.0,8.0,0.0
19,Samuel Thompson,150.0,2023-04-01,,0.0,8.0,8.0,8.0,8.0,8.0,0.0
20,Theresa Upton,130.0,2023-04-01,,0.0,8.0,8.0,8.0,8.0,8.0,0.0
21,Ulysses Vaughn,140.0,2023-04-01,,0.0,8.0,8.0,8.0,8.0,8.0,0.0
22,Victoria Williams,170.0,2023-04-01,,0.0,8.0,8.0,8.0,8.0,8.0,0.0
23,Walter Xavier,130.0,2023-04-01,,0.0,8.0,8.0,8.0,8.0,8.0,0.0
24,Xander Young,120.0,2023-04-01,,0.0,8.0,8.0,8.0,8.0,8.0,0.0
25,Yvonne Zimmerman,160.0,2023-05-01,,0.0,8.0,8.0,8.0,8.0,8.0,0.0
26,Zachary Anderson,160.0,2023-05-01,,0.0,8.0,8.0,8.0,8.0,8.0,0.0
